SampleDate,Result
9/19/16,0.14
9/27/16,0.76
9/27/16,0.33
9/27/16,0.062
9/27/16,0.041
9/27/16,5.9
9/27/16,0.09
11/21/16,1.2
11/21/16,0.2
11/21/16,0.19
11/21/16,0.99
11/21/16,0.43
11/21/16,0.9
11/21/16,0.42
11/21/16,0.74
11/21/16,0.26
12/15/16,0.27
12/15/16,0.33
12/16/16,0.095
12/16/16,0.57
12/16/16,0.071
12/16/16,0.21
12/16/16,0.5
12/16/16,0.88
12/16/16,0.3
1/9/17,0.24
1/9/17,0.22
1/9/17,0.88
1/9/17,0.54
1/9/17,0.42
1/9/17,1
1/9/17,0.25
1/19/17,0.31
1/31/17,0.018
3/30/17,0.15
4/25/17,1.1
5/17/17,0.15
5/25/17,0.034
5/31/17,0.16
6/13/17,1.4
6/13/17,0.035
8/2/17,0.065
8/2/17,0.022
8/2/17,0
8/2/17,0.12
8/2/17,0.012
8/3/17,0.14
8/3/17,0.025
8/3/17,0.089
8/3/17,0.051
8/4/17,0.085
8/4/17,0.067
8/4/17,0.051
8/4/17,0.21
8/4/17,0.21
8/4/17,0.084
8/4/17,0.024
8/4/17,0.024
8/4/17,0.051
8/4/17,0.084
8/4/17,0.067
8/4/17,0.085
8/7/17,0.16
8/7/17,0.077
8/7/17,0.058
8/7/17,0.11
8/7/17,0.022
8/8/17,0.88
8/8/17,0.051
8/14/17,0.52
8/14/17,1.7
8/14/17,0.094
8/16/17,0.082
8/23/17,0.026
9/6/17,0.034
9/6/17,1.5
9/6/17,0.2
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/12/17,0.14
9/13/17,0.076
9/19/17,0.072
9/19/17,0.043
9/19/17,0.038
9/20/17,4.1
9/20/17,4.1
9/20/17,4.1
9/20/17,4.1
9/20/17,4.1
9/20/17,4.1
9/20/17,4.1
9/26/17,0.022
9/28/17,0.3
9/28/17,0.055
10/17/17,0.088
10/17/17,0.082
11/28/17,0.27
11/28/17,0.29
11/28/17,0.3
12/5/17,0.29
12/5/17,0.46
12/6/17,2.2
1/8/18,0.44
1/8/18,0.36
1/9/18,0.22
1/9/18,1.7
1/9/18,0.33
1/9/18,0.15
1/9/18,0.65
1/9/18,0.16
1/9/18,0.72
1/9/18,0.2
1/9/18,0.35
1/9/18,0.37
1/9/18,0.28
1/30/18,4.3
2/5/18,0.67
2/5/18,0.35
2/13/18,0.28
2/13/18,0.71
2/27/18,0.37
2/27/18,0.39
2/27/18,0.51
2/27/18,0.28
2/27/18,0.27
2/27/18,0.66
2/27/18,0.22
2/27/18,0.46
3/22/18,0.62
3/22/18,0.47
3/22/18,0.56
3/22/18,0.96
5/23/18,1.6
5/23/18,1.4
5/23/18,0.27
5/24/18,0.47
5/24/18,0.38
5/24/18,0.47
5/24/18,0.1
5/24/18,0.14
5/30/18,0.085
5/31/18,0.49
5/31/18,0.36
5/31/18,0.23
5/31/18,0.33
5/31/18,0.39
6/7/18,0.05
6/7/18,0.038
6/7/18,0.099
6/13/18,0.1
6/13/18,1.2
6/13/18,0.12
6/13/18,0.03
6/13/18,0.031
6/13/18,0.45
6/14/18,0.053
6/14/18,0.071
6/14/18,0.065
6/14/18,0.033
6/14/18,0.09
6/18/18,0.29
6/18/18,0.2
6/18/18,1
6/18/18,0.35
6/20/18,0.4
6/20/18,0.07
6/20/18,0.067
6/20/18,0.056
6/20/18,0.19
6/20/18,0.034
6/20/18,0.056
6/20/18,0.92
6/26/18,0.14
6/26/18,0.26
6/26/18,0.1
6/26/18,0.12
6/26/18,0.12
6/28/18,0.034
6/28/18,0.14
6/28/18,0.047
7/18/18,0.27
7/23/18,0.13
7/23/18,0.033
7/23/18,0.039
7/23/18,0.0058
7/25/18,0.016
7/25/18,0.059
7/25/18,0.16
7/25/18,0.099
8/21/18,0.13
8/27/18,0.61
8/27/18,1.6
8/29/18,0.2
8/29/18,0.23
8/30/18,0.22
8/30/18,0.31
8/31/18,0.25
9/5/18,0.23
9/5/18,1.7
9/5/18,1.8
9/5/18,0.13
9/5/18,0.23
9/5/18,0.24
9/5/18,0.28
9/6/18,0.5
9/6/18,1.9
9/6/18,0.43
9/6/18,0.29
9/6/18,0.43
9/6/18,0.4
9/6/18,0.26
9/6/18,0.51
9/6/18,0.74
9/19/18,0.096
9/19/18,0.24
9/19/18,0.22
9/19/18,0.13
9/19/18,0.2
9/24/18,0.084
9/24/18,0.068
9/24/18,0.58
9/24/18,0.026
9/24/18,0.31
